bucket,total,--,AD,AE,AR,AT,AU,BA,BD,BE,BG,BH,BO,BR,BY,CA,CH,CL,CN,CO,CR,CZ,DE,DK,EC,EG,ES,ET,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KH,KR,KY,KZ,LA,LB,LK,LT,LU,MD,MN,MO,MX,MY,NL,NO,NP,NZ,PA,PE,PH,PL,PT,RO,RS,RU,RW,SC,SE,SG,TH,TJ,TN,TR,TW,UA,US,UY,VE,VN,ZA,ZM
2022-02-01T12,161,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,1,13,0,0,0,24,0,0,0,0,0,0,1,5,0,1,1,0,0,4,0,1,0,0,2,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,1,0,2,0,7,0,0,2,8,14,0,0,0,1,0,41,0,0,0,0,0
2022-02-01T13,180,1,0,0,0,0,3,0,0,0,0,0,0,1,0,7,2,1,12,0,0,0,37,0,0,0,1,0,0,6,6,0,0,1,0,0,3,0,0,1,0,3,2,1,2,0,0,0,0,0,0,0,0,0,0,1,1,13,0,0,0,0,0,1,3,0,0,0,5,0,0,3,7,11,0,0,0,3,2,38,0,0,1,1,0
2022-02-01T14,206,0,0,0,1,3,1,0,0,0,1,0,0,2,0,14,0,0,17,1,0,0,46,0,0,0,2,0,0,8,10,0,0,6,0,0,0,0,0,1,0,4,8,0,1,0,0,0,0,0,1,0,0,0,0,0,1,11,0,0,0,0,0,4,4,0,0,0,6,0,0,4,7,10,0,0,2,2,0,27,0,0,1,0,0
2022-02-01T15,223,0,0,4,0,2,1,0,0,0,0,0,0,3,0,17,3,0,14,0,0,0,49,0,0,0,2,1,10,12,8,0,0,3,0,0,0,0,0,0,0,6,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,16,0,0,0,0,0,2,3,2,1,0,5,0,0,4,6,10,0,0,3,2,1,29,0,0,0,0,1
2022-02-01T16,294,0,0,1,4,1,0,0,0,1,0,0,0,2,0,13,2,1,13,0,0,0,76,0,0,0,4,0,21,14,15,0,0,2,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0,1,0,0,0,1,3,0,15,1,0,0,0,0,1,5,1,0,0,5,0,0,7,5,9,0,0,2,2,2,46,0,0,3,0,0
2022-02-01T17,435,1,0,1,0,2,0,0,1,1,0,0,1,1,0,15,2,1,14,0,0,0,194,0,0,0,4,0,4,17,14,0,0,1,0,0,1,0,0,2,0,22,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,2,6,1,3,0,7,0,0,35,5,9,0,0,2,1,1,39,0,0,1,0,0
2022-02-01T18,629,0,1,0,0,1,1,0,0,2,0,0,0,1,0,19,4,2,21,1,0,0,336,0,0,0,9,0,1,15,25,0,0,2,0,0,0,4,0,3,0,19,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,1,3,0,3,0,8,0,0,33,6,4,0,0,2,0,1,48,0,0,1,0,0
2022-02-01T19,519,0,0,0,1,1,0,1,0,3,0,0,0,0,0,10,4,2,17,0,0,1,272,0,0,0,9,0,0,10,22,0,0,2,0,0,1,2,0,0,0,21,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,43,0,0,0,0,0,1,5,0,5,0,5,0,0,13,6,3,0,0,1,0,0,54,0,0,0,0,0
2022-02-01T20,317,0,0,0,0,2,0,1,0,2,0,0,0,0,0,11,3,0,17,0,0,0,119,0,0,0,6,0,0,10,23,0,0,2,0,0,1,0,0,0,0,15,1,0,4,0,0,0,0,0,0,0,0,0,0,3,0,23,2,0,0,0,0,1,3,1,1,1,5,0,0,5,5,4,0,0,1,0,1,43,0,0,1,0,0
2022-02-01T21,281,2,0,0,0,1,1,0,0,1,0,0,0,5,0,11,1,0,16,0,0,0,86,0,0,0,3,0,1,9,14,0,0,2,0,0,1,1,0,0,0,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,1,1,2,1,0,5,0,0,2,10,3,0,0,1,0,0,49,0,0,4,0,0
