bucket,total,--,AE,AL,AM,AR,AT,AU,AZ,BA,BD,BE,BG,BM,BO,BR,BT,BW,BY,CA,CH,CL,CM,CN,CO,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GE,GR,GT,HK,HR,HT,HU,ID,IE,IL,IN,IR,IS,IT,JO,JP,KE,KH,KR,KZ,LA,LT,LU,MA,MD,MK,MN,MO,MT,MU,MW,MX,MY,MZ,NA,NG,NL,NO,NP,NZ,OM,PA,PE,PH,PK,PL,PT,PY,QA,RO,RS,RU,RW,SA,SE,SG,SK,SL,TH,TN,TR,TW,UA,US,UY,UZ,VE,VN,ZA,ZM
2022-02-28T18,375,1,1,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,13,1,0,0,16,0,0,197,3,0,0,0,0,0,10,0,12,8,0,1,0,5,0,0,1,0,2,0,1,0,0,15,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,4,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,7,10,0,0,6,0,0,0,1,18,0,0,0,1,0,0
2022-02-28T19,378,2,1,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,0,12,1,0,0,10,0,0,147,0,0,0,0,0,0,11,0,11,24,0,1,0,4,0,0,1,1,2,0,3,0,0,18,0,11,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,39,2,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,3,6,0,0,7,0,1,3,2,33,0,0,0,1,0,0
2022-02-28T20,277,0,0,0,0,1,1,0,1,1,0,3,0,0,0,3,0,0,0,11,4,0,0,10,0,0,88,0,0,0,0,0,0,5,0,7,28,0,0,0,3,0,0,0,0,2,1,3,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7,0,0,3,6,0,0,7,0,0,2,1,33,0,0,0,0,0,0
2022-02-28T21,228,2,0,0,0,0,1,0,0,1,0,2,0,0,0,4,0,0,0,13,0,0,0,17,0,0,48,0,0,0,0,0,0,2,1,7,18,0,0,0,2,0,0,1,0,0,0,3,0,0,20,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,7,0,0,6,0,0,2,3,29,0,0,0,0,0,0
2022-02-28T22,184,4,1,0,0,0,1,1,0,1,0,2,0,0,0,2,0,0,0,10,2,0,0,9,0,0,34,0,0,0,0,0,0,2,0,7,16,0,1,0,2,0,0,0,0,0,1,0,0,0,18,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,1,0,0,0,1,0,0,0,0,5,0,1,3,6,0,0,2,0,0,0,1,31,0,0,0,0,0,0
2022-02-28T23,164,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,14,2,0,0,11,0,0,18,0,0,0,0,0,0,1,0,6,6,0,0,0,1,0,0,0,0,0,0,1,0,0,14,0,8,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,1,0,0,1,2,0,0,1,0,2,0,0,3,8,0,0,5,0,1,0,0,37,0,0,0,0,0,0
2022-03-01T00,158,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,14,1,0,0,14,0,0,19,0,0,0,0,0,0,1,0,3,8,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,1,0,0,0,1,0,6,0,0,2,6,0,0,1,0,0,0,2,51,0,0,0,2,0,0
2022-03-01T01,160,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,24,3,0,0,13,0,0,13,0,0,0,0,0,0,1,0,4,2,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,9,0,0,2,0,0,0,0,55,0,0,0,1,0,0
2022-03-01T02,142,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,17,0,0,0,9,0,0,11,0,0,0,0,0,0,1,0,7,1,0,0,0,3,0,0,0,0,0,0,1,0,0,2,0,10,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0,2,7,0,0,0,0,0,0,0,53,0,0,0,3,0,0
2022-03-01T03,146,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,12,0,1,0,15,0,0,8,0,0,0,0,0,0,1,0,1,8,0,0,0,5,0,0,0,0,0,0,1,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,9,0,0,1,0,0,0,0,49,0,0,0,6,0,0
