bucket,total,--,AD,AE,AF,AM,AR,AT,AU,BA,BB,BD,BE,BG,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CZ,DE,DK,EC,EE,ES,FI,FR,GB,GE,GF,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IR,IS,IT,JP,KE,KG,KM,KR,KZ,LK,LT,LU,LV,MC,MD,ME,MK,MN,MO,MX,MY,MZ,NL,NO,NP,NZ,OM,PE,PG,PH,PK,PL,PS,PT,PY,QA,RO,RS,RU,RW,SC,SE,SG,SI,SK,SN,TH,TR,TW,UA,US,UY,UZ,VE,VN,ZA,ZM
2022-03-21T22,225,3,0,0,0,0,0,1,0,1,0,0,1,0,0,2,0,6,2,0,0,0,17,2,0,32,0,0,0,4,0,10,13,0,0,1,1,4,0,0,1,1,0,1,1,0,1,20,3,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,1,9,0,0,0,2,1,0,0,59,0,0,0,4,0,0
2022-03-21T23,240,2,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,18,1,1,1,0,11,1,0,21,0,0,0,3,0,6,9,0,0,0,0,1,0,0,0,1,0,0,3,0,0,15,6,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,1,9,0,0,0,1,1,0,0,102,1,0,0,1,0,0
2022-03-22T00,191,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,22,1,0,0,0,12,0,1,12,0,0,0,1,0,1,6,0,0,0,0,5,0,0,0,0,1,0,2,0,0,6,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,5,0,0,0,6,0,0,0,0,1,0,0,90,0,0,0,1,0,0
2022-03-22T01,128,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,19,0,0,0,0,11,0,0,9,1,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,6,0,0,0,0,0,1,0,44,1,0,0,1,0,0
2022-03-22T02,124,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,14,0,0,1,0,9,0,0,14,1,0,0,0,0,4,4,0,0,0,0,8,0,0,0,0,0,0,0,1,0,2,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,5,0,0,0,1,0,2,0,36,0,0,0,2,0,0
2022-03-22T03,107,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,8,0,0,1,0,15,1,0,6,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,5,0,0,0,4,0,0,0,31,0,0,0,1,0,0
2022-03-22T04,121,2,0,0,0,0,0,1,2,0,0,0,0,0,0,6,0,9,0,0,1,0,14,0,0,10,0,0,0,0,0,1,4,0,0,0,0,11,0,0,0,1,0,0,0,1,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,6,0,0,0,3,0,0,0,29,0,0,0,1,0,0
2022-03-22T05,120,1,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,6,0,0,0,0,13,0,0,6,0,0,0,0,0,12,4,0,0,0,0,8,0,0,0,1,0,0,0,0,0,1,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,7,0,0,1,5,0,0,0,6,0,1,0,27,0,0,0,2,0,0
2022-03-22T06,96,1,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,2,0,0,0,0,8,0,0,9,0,0,0,1,0,2,6,0,0,0,0,9,0,1,0,1,0,0,1,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,0,4,0,2,0,22,0,0,0,0,0,0
2022-03-22T07,122,1,0,0,0,0,0,0,6,0,0,0,1,0,0,1,0,1,0,0,0,0,8,1,0,14,0,0,0,2,0,2,4,0,0,0,0,14,0,0,0,2,0,1,2,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,5,0,0,0,5,0,3,0,27,0,0,0,0,0,0
