bucket,total,--,AE,AF,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BO,BR,BY,BZ,CA,CH,CL,CN,CO,CR,CY,CZ,DE,DK,DZ,EC,EG,ES,FI,FR,GB,GE,GG,GR,GT,HK,HN,HR,HT,HU,ID,IE,IL,IN,IR,IS,IT,JM,JO,JP,KE,KH,KR,KZ,LA,LB,LK,LT,LU,LV,MA,MK,MM,MN,MO,MU,MX,MY,NA,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PS,PT,PY,RE,RO,RS,RU,RW,SA,SC,SD,SE,SG,SK,SN,SO,SV,TG,TH,TN,TR,TT,TW,UA,UG,US,UY,VE,VN,ZA
2022-02-10T19,447,1,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,9,3,0,11,0,0,0,0,211,1,0,1,0,11,0,16,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0,0,7,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,2,0,1,0,0,2,0,6,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,1,0,0,51,0,0,2,0
2022-02-10T20,303,1,0,0,3,2,0,0,0,0,0,1,0,0,0,4,0,0,7,4,0,14,1,0,0,0,89,0,0,2,0,5,0,10,28,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,33,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,30,0,0,0,0,1,0,3,0,1,0,0,2,0,5,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0
2022-02-10T21,239,1,0,0,2,2,0,0,1,0,0,1,0,0,0,4,1,0,7,7,0,13,1,0,0,0,58,0,0,1,1,2,0,11,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,36,0,0,3,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,1,0
2022-02-10T22,175,3,0,0,2,2,0,0,1,0,0,0,0,0,0,5,2,0,5,3,0,9,0,0,0,0,31,0,0,0,0,2,0,8,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,20,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,12,0,0,0,0,0,0,1,0,2,0,0,0,0,5,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0
2022-02-10T23,159,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,11,2,0,16,1,0,0,0,26,0,0,0,0,1,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,1,0,0,0,2,0,0,0,0,5,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0
2022-02-11T00,159,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,27,1,0,13,0,0,0,0,8,0,0,0,0,2,0,2,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,9,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,7,0,0,0,0,0,2,0,0,0,1,2,0,53,0,0,0,0
2022-02-11T01,140,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,20,1,0,13,0,0,0,0,10,0,0,0,0,2,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,59,0,0,0,0
2022-02-11T02,138,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,15,0,0,0,0,5,0,0,0,0,1,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,6,0,0,0,0,0,1,0,0,0,0,2,0,63,0,0,0,0
2022-02-11T03,123,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,14,0,1,22,0,0,0,0,4,0,0,0,0,1,0,2,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,1,0,0,41,0,0,3,0
2022-02-11T04,115,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,18,1,0,0,0,3,0,0,0,0,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,1,0,4,0,0,0,0,1,8,0,0,0,0,0,1,0,0,0,0,0,0,39,0,0,5,0
2022-02-11T05,117,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,16,0,0,0,0,10,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,3,0,0,0,0,1,8,0,0,0,0,0,1,0,0,0,0,1,0,48,0,0,0,1
2022-02-11T06,106,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,5,0,0,16,0,0,0,0,4,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,1,8,0,0,0,0,0,2,0,0,0,2,2,0,36,0,0,1,0
2022-02-11T07,102,1,2,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,2,1,0,10,1,0,0,0,12,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,1,1,0,5,0,0,0,0,1,6,0,0,0,0,0,2,0,0,0,4,1,0,24,0,0,1,0
2022-02-11T08,123,2,0,0,0,0,5,0,0,0,0,1,0,0,0,3,0,0,3,1,0,18,0,0,0,0,24,1,0,0,0,0,0,3,3,0,0,0,0,7,0,0,0,0,1,0,0,1,0,0,2,0,0,5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,2,6,0,1,0,0,0,0,0,0,0,2,1,0,19,0,0,0,1
2022-02-11T09,136,2,0,0,1,1,5,0,0,0,0,0,0,0,0,1,0,0,3,0,0,20,0,0,0,0,26,0,0,0,0,1,0,5,3,0,0,0,0,6,0,0,0,0,1,0,1,1,0,0,4,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,1,0,1,7,0,0,0,0,1,5,0,0,0,0,0,3,0,0,0,2,0,0,21,0,0,0,1
2022-02-11T10,127,1,0,0,1,1,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,17,0,0,0,0,22,0,0,0,0,1,0,7,5,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,4,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4,0,1,0,0,0,2,1,1,2,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,1,0,0,21,0,0,0,0
2022-02-11T11,121,0,0,0,1,1,3,0,0,0,0,0,0,0,0,2,0,0,3,0,0,20,0,0,0,0,15,0,0,0,0,0,0,3,8,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,0,2,1,0,3,0,0,0,0,2,9,0,0,0,0,0,3,0,0,0,3,1,0,17,0,0,0,0
2022-02-11T12,151,1,0,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,5,1,0,22,0,0,0,0,26,0,0,0,0,2,0,1,7,0,0,0,0,5,0,0,0,0,3,0,0,0,1,0,8,0,0,6,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,3,0,0,0,0,0,2,2,0,3,0,0,0,0,2,8,0,0,0,0,0,3,0,0,0,3,0,0,21,0,0,1,0
2022-02-11T13,164,2,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,5,0,1,14,0,0,0,0,30,0,0,0,0,0,0,5,16,0,0,0,0,11,0,0,0,0,2,0,0,1,0,0,5,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,10,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,3,5,0,0,0,0,0,6,0,0,0,2,1,0,21,0,0,2,0
2022-02-11T14,180,1,2,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,5,0,0,14,0,0,0,0,38,0,0,0,0,0,0,10,15,0,0,0,0,13,0,0,0,0,1,0,0,2,0,0,7,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,3,0,0,0,1,0,1,1,0,3,0,0,0,0,3,6,0,0,0,0,0,7,0,0,0,6,1,0,23,0,0,0,0
2022-02-11T15,239,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,8,1,0,14,0,0,0,0,59,0,0,0,0,1,0,9,12,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,11,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,13,0,0,0,0,4,0,1,0,1,0,1,1,0,4,0,0,0,0,5,6,0,0,0,0,0,5,0,3,0,8,0,0,49,0,0,1,1
2022-02-11T16,283,0,3,0,0,1,1,0,0,0,0,1,0,0,0,3,1,0,6,1,0,22,0,0,0,1,71,0,0,0,0,6,0,16,16,1,0,0,0,5,0,0,0,0,0,0,0,5,0,0,14,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,0,0,0,0,2,0,5,0,1,1,0,0,0,2,0,0,0,0,6,8,0,0,0,0,0,15,0,3,0,1,2,0,35,0,0,1,1
2022-02-11T17,353,4,8,0,0,1,1,0,0,0,0,2,0,0,0,2,0,0,6,1,0,13,1,0,0,1,118,2,0,0,0,9,0,19,18,0,0,1,0,2,0,0,0,0,4,0,0,4,0,1,23,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,2,0,3,0,0,0,0,3,0,7,0,0,1,0,13,6,0,0,0,0,0,20,0,2,0,1,1,0,33,0,0,2,0
2022-02-11T18,429,3,7,0,0,3,0,0,1,0,0,4,0,0,0,3,0,0,10,2,0,10,1,0,0,0,215,0,0,0,0,9,0,12,23,0,0,1,0,2,0,0,0,0,3,0,0,2,0,0,22,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16,0,0,0,0,1,0,1,0,1,0,0,2,1,7,1,0,0,0,3,7,0,0,0,0,0,10,0,2,0,1,0,0,37,0,0,1,0
2022-02-11T19,347,1,2,0,0,3,0,0,0,0,0,4,0,0,0,1,1,0,5,1,0,17,0,0,0,0,139,1,0,0,0,8,0,7,39,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,18,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,0,0,0,0,1,0,1,0,0,0,0,1,0,9,0,0,0,0,3,5,0,0,0,0,0,7,0,2,0,1,1,0,27,0,0,0,0
2022-02-11T20,277,2,2,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,7,3,1,20,0,0,0,1,99,0,0,0,0,7,0,9,14,0,0,0,0,1,0,0,0,0,0,5,1,1,1,0,20,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,3,5,0,0,0,0,0,4,0,0,0,2,1,0,27,0,0,1,0
2022-02-11T21,258,1,2,0,0,3,0,0,0,0,0,2,0,0,0,1,0,0,9,4,0,17,0,0,0,0,66,1,0,0,0,5,0,15,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26,1,0,0,0,0,0,1,0,2,0,0,1,0,5,0,0,0,0,4,6,0,0,0,0,0,2,0,0,0,1,0,0,34,0,0,3,0
2022-02-11T22,236,1,0,0,0,3,0,0,1,0,0,2,1,0,0,0,0,0,10,2,0,11,0,0,0,0,62,0,0,0,0,4,0,14,23,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,16,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,3,0,3,0,0,1,0,2,0,0,0,0,2,5,0,0,0,0,0,4,0,1,0,0,1,0,38,0,0,0,0
2022-02-11T23,198,2,0,0,0,0,0,0,1,0,0,3,0,0,0,2,0,0,17,2,2,18,2,0,0,0,43,0,0,0,0,4,0,10,18,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8,0,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,7,0,0,0,0,0,0,0,1,0,0,0,0,31,0,0,1,0
2022-02-12T00,177,1,0,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,20,1,4,18,1,0,0,0,22,1,0,0,0,3,0,2,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,1,0,1,0,0,1,0,2,0,0,0,0,2,7,0,0,0,0,0,2,0,1,1,0,2,0,42,0,0,1,0
2022-02-12T01,179,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,23,0,2,23,0,0,0,0,14,0,0,0,0,2,0,3,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,1,0,6,0,0,0,0,2,6,0,0,0,0,0,1,0,0,0,2,3,0,61,0,0,1,0
2022-02-12T02,149,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,21,2,1,21,0,0,0,0,12,0,0,0,0,1,0,3,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,6,0,0,44,0,0,0,0
2022-02-12T03,147,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,20,0,1,19,0,0,0,0,5,0,0,0,0,1,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,1,1,0,5,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,2,1,0,60,0,0,0,0
2022-02-12T04,106,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,10,0,0,14,0,0,0,0,6,0,0,0,0,1,0,3,2,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,4,1,0,33,0,0,1,0
2022-02-12T05,112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,13,0,0,0,0,5,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,2,0,0,2,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,1,1,0,45,1,0,0,0
2022-02-12T06,72,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,1,10,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0
