bucket,--,AE,AR,AT,AU,BA,BB,BE,BG,BN,BR,CA,CH,CL,CN,CO,CR,CZ,DE,DK,EC,EE,ES,FI,FR,GB,GR,HK,HU,ID,IE,IL,IN,IT,JP,KR,KY,LK,MD,MK,MO,MT,MX,MY,NA,NL,NO,NZ,PE,PH,PL,PT,RO,RU,SE,SG,SK,TH,TR,TW,UA,US,UY,VN,ZA
2021-09-28T03,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,2,0,0,0,0,1,0,0,3,0,7,0,8,0,0,0
2021-09-28T04,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,4,0,7,0,7,0,0,0
2021-09-28T05,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,3,0,0,0,0,1,0,0,3,0,6,0,6,0,0,0
2021-09-28T06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,3,0,5,0,0,0,1,1,0,0,3,0,8,0,5,0,0,0
2021-09-28T07,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,6,0,0,0,3,2,0,0,0,1,0,0,2,0,12,0,0,0,0,0
2021-09-28T08,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,2,0,3,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,3,0,0,0,3,2,0,0,6,0,8,0,1,0,0,0
2021-09-28T09,0,0,1,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,2,4,0,2,0,0,1,1,0,4,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,3,0,0,0,1,1,0,0,4,1,5,0,2,0,0,0
2021-09-28T10,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,0,0,8,0,0,0,1,0,1,3,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,1,2,1,0,8,1,5,0,1,0,0,0
2021-09-28T11,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,10,0,0,0,1,0,5,5,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,4,0,0,0,0,1,2,0,8,1,9,0,2,0,0,0
2021-09-28T12,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,11,0,0,0,0,0,5,3,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,11,0,0,0,4,1,0,0,1,3,9,0,8,1,9,0,0,0,0,0
2021-09-28T13,0,0,1,0,0,0,0,0,0,0,0,7,3,1,2,0,0,0,16,0,0,0,0,0,7,5,0,2,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,4,0,0,1,0,3,3,0,19,2,9,0,5,0,0,0
2021-09-28T14,0,0,1,0,1,0,0,0,0,0,1,6,0,0,5,0,0,0,18,1,0,0,0,0,1,14,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,7,1,0,0,2,2,6,0,14,1,10,0,6,0,0,0
2021-09-28T15,0,0,0,0,0,1,0,0,0,0,0,1,1,0,3,0,0,0,17,0,0,0,1,1,8,6,0,2,0,0,1,0,0,10,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,4,2,1,0,0,3,4,0,18,2,9,0,7,0,0,0
2021-09-28T16,0,0,0,0,0,1,0,1,1,0,0,1,1,0,2,0,0,0,55,0,0,0,2,0,11,9,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,1,1,2,0,9,0,0,0,2,1,0,0,1,4,0,0,19,2,3,0,5,0,0,0
2021-09-28T17,0,0,0,1,0,0,0,2,1,0,1,5,3,0,0,0,0,0,61,0,0,0,3,0,4,8,0,1,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,4,0,2,2,4,0,0,14,1,4,1,11,0,0,0
2021-09-28T18,0,0,1,0,0,1,0,3,0,0,1,6,2,0,0,0,0,0,42,0,0,0,2,0,11,15,0,0,0,0,7,0,0,9,0,0,0,0,0,0,0,0,0,1,0,29,0,0,0,1,1,0,1,2,3,0,0,3,3,5,0,7,0,0,0
2021-09-28T19,0,0,0,1,0,0,0,1,0,0,0,6,3,0,0,3,0,0,39,0,0,0,3,0,7,12,0,1,0,0,4,1,0,22,0,0,0,0,0,0,0,0,3,0,0,21,0,0,0,1,1,3,0,1,1,0,0,2,1,2,0,15,0,0,0
2021-09-28T20,0,0,0,0,0,1,0,2,0,0,0,8,5,0,0,0,0,0,23,1,0,0,0,0,8,11,0,0,0,0,0,1,0,17,0,0,0,0,0,2,0,0,0,0,0,12,0,0,0,0,0,2,1,0,2,1,0,4,0,4,0,5,0,0,0
2021-09-28T21,0,0,1,0,0,0,0,0,0,0,1,3,3,2,0,3,0,0,18,0,0,0,1,0,4,10,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,1,0,0,0,1,0,3,0,9,0,0,0
2021-09-28T22,0,0,0,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,15,0,0,0,0,0,3,9,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,3,0,0,0,0,0,3,0,2,1,12,0,0,0
2021-09-28T23,0,0,10,0,2,0,0,0,0,0,1,18,0,0,0,2,0,0,6,0,0,0,0,0,1,5,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,17,1,0,0
2021-09-29T00,0,0,0,0,2,0,0,0,0,0,2,13,1,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,32,0,0,0
2021-09-29T01,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,1,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,30,0,0,0
2021-09-29T02,0,0,1,0,1,0,0,0,0,0,1,4,0,0,1,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,27,0,0,0
2021-09-29T03,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,8,0,17,0,0,0
2021-09-29T04,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,5,0,9,0,0,0
2021-09-29T05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,3,0,8,0,4,0,0,0
2021-09-29T06,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,4,0,0,0,0,1,3,0,3,0,4,0,9,0,0,0
2021-09-29T07,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,8,0,0,0,0,0,2,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,2,0,0,0,2,1,0,3,0,6,0,2,0,0,0
2021-09-29T08,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,1,0,1,0,8,0,6,0,3,0,0,0
2021-09-29T09,1,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,1,0,3,9,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,6,0,0,0,2,0,0,0,0,1,2,0,8,0,6,0,2,0,0,0
2021-09-29T10,0,0,0,0,3,0,0,1,0,0,0,1,0,0,1,0,0,0,8,0,0,0,1,0,2,10,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,1,0,0,0,2,0,3,0,12,0,16,0,4,0,4,0
2021-09-29T11,1,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,12,0,0,0,0,0,2,8,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,1,0,1,1,17,0,5,0,9,0,4,0,2,0
2021-09-29T12,1,0,0,0,2,0,0,1,1,0,0,2,0,0,4,0,0,0,12,0,0,0,2,0,2,10,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,8,0,0,0,3,0,0,0,0,0,24,0,28,0,11,0,2,0,0,0
