bucket,total,--,AE,AR,AT,AU,BA,BB,BE,BG,BR,BS,BY,CA,CH,CL,CM,CN,CO,CZ,DE,DK,EC,EG,ES,FI,FR,GB,GE,GR,HK,HU,ID,IE,IL,IN,IR,IT,JP,KE,KH,KR,KZ,LA,LT,LU,LV,MC,MD,MM,MN,MX,MY,NG,NL,NO,NP,NZ,PE,PH,PL,PT,RO,RS,RU,RW,SA,SE,SG,SI,SK,TH,TR,TW,UA,US,UY,VN,ZA
2021-11-09T17,237,2,0,1,1,0,0,0,1,1,1,0,0,4,2,0,0,7,0,0,73,0,0,0,7,1,13,16,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,3,0,1,0,6,0,0,10,12,0,0,17,1,2,0,24,0,0,0
2021-11-09T18,259,2,0,1,1,0,0,0,2,0,0,0,2,6,5,1,0,4,0,0,79,0,0,0,6,0,9,24,0,0,1,0,0,0,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,1,0,0,0,5,0,0,7,9,0,0,8,1,2,0,23,0,1,0
2021-11-09T19,277,3,0,0,1,0,1,0,1,0,0,0,1,7,1,0,0,5,0,0,116,0,0,0,5,1,8,21,0,0,0,0,1,0,0,0,0,16,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,28,0,0,0,0,0,0,1,1,0,1,0,0,7,14,0,0,4,3,3,1,23,0,0,0
2021-11-09T20,222,2,0,1,0,0,2,0,2,0,0,0,0,9,2,0,0,4,0,0,68,1,0,0,4,1,6,21,0,1,0,0,0,0,0,0,0,24,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,22,0,0,0,0,0,1,1,1,1,1,0,0,5,9,0,1,2,4,1,0,21,0,1,0
2021-11-09T21,190,2,0,3,0,0,1,1,1,0,1,0,0,9,1,1,0,5,0,0,42,0,0,0,4,2,4,20,0,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,19,0,0,0,0,0,0,2,0,0,2,0,0,3,9,0,0,3,5,2,0,25,0,1,0
2021-11-09T22,160,2,0,0,0,1,0,0,1,0,4,0,0,13,1,0,0,3,0,0,28,0,0,0,1,0,6,17,0,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,1,0,2,0,2,0,0,3,7,0,0,2,4,1,0,24,0,5,0
2021-11-09T23,144,3,0,1,0,2,0,0,2,0,1,0,0,21,0,0,0,3,0,0,19,0,0,0,1,0,9,10,0,1,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,1,0,0,4,6,0,0,2,0,1,1,32,0,0,0
2021-11-10T00,135,2,0,1,0,0,0,0,1,0,4,0,0,25,0,0,0,8,0,0,11,0,0,0,1,0,3,7,0,1,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,1,0,0,0,1,0,0,3,11,0,0,1,0,1,2,33,0,0,0
2021-11-10T01,109,2,0,0,0,1,0,0,0,0,1,0,0,17,0,1,0,3,0,0,6,0,0,0,0,0,2,3,0,1,0,0,0,2,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2,11,0,0,3,0,1,0,38,0,0,0
2021-11-10T02,109,2,0,0,0,2,0,0,0,0,1,0,0,10,0,2,0,10,0,0,4,0,0,0,1,0,2,2,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,4,0,0,0,0,2,0,0,0,0,2,0,0,2,9,0,0,3,0,1,0,42,0,0,0
2021-11-10T03,99,3,0,1,0,1,0,0,0,0,1,0,0,8,0,0,0,7,0,0,2,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,4,0,0,0,0,2,0,0,0,0,0,0,0,2,11,0,0,3,0,1,0,40,0,2,0
