bucket,total,--,AD,AE,AR,AT,AU,BA,BB,BD,BE,BG,BH,BM,BR,CA,CH,CI,CL,CM,CN,CO,CY,CZ,DE,DK,DO,DZ,EE,EG,ES,FI,FR,GB,GE,GI,GR,HK,HR,HU,ID,IE,IL,IN,IT,JM,JP,KH,KR,KW,KZ,LA,LB,LK,LT,LV,MA,MD,ML,MM,MO,MV,MX,MY,NA,NC,NG,NL,NO,NZ,PE,PH,PK,PL,PS,PT,QA,RO,RS,RU,RW,SD,SE,SG,SI,SK,TH,TR,TT,TW,UA,US,UY,VE,VN,ZA
2021-12-06T22,175,1,0,0,1,0,0,0,0,0,2,0,0,0,3,3,1,1,0,0,5,0,0,0,37,0,0,0,0,0,2,1,7,13,0,0,0,0,0,0,0,0,0,0,19,0,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,0,1,0,1,0,4,0,0,1,5,0,0,2,1,0,0,0,38,0,0,0,0
2021-12-06T23,164,1,0,0,0,0,1,0,0,0,1,0,0,0,3,7,1,0,0,0,6,0,0,0,19,0,0,0,0,0,4,1,4,13,0,0,0,0,0,0,0,0,0,0,17,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,1,0,2,0,1,0,3,0,0,1,11,0,0,1,2,0,0,1,49,0,0,0,0
2021-12-07T00,139,1,0,0,0,0,2,0,0,0,0,0,0,0,4,16,0,0,1,0,7,0,0,0,4,1,0,0,0,0,3,1,2,9,0,0,0,0,0,0,1,0,0,0,14,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,1,0,0,0,2,1,0,1,7,0,0,1,0,0,0,2,45,0,0,0,0
2021-12-07T01,119,1,0,0,0,0,1,1,0,0,1,0,0,0,2,12,0,0,0,0,8,0,0,0,4,0,0,0,0,0,3,0,3,6,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,6,0,0,3,0,0,0,1,49,0,0,0,0
2021-12-07T02,99,3,0,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0,9,0,0,0,2,0,0,0,0,0,2,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,7,0,0,1,0,0,2,0,35,0,0,0,0
2021-12-07T03,97,3,0,0,0,0,0,0,0,0,1,0,0,0,1,7,0,0,0,0,7,0,0,0,1,0,0,0,0,0,2,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,2,0,0,0,0,0,0,0,2,0,0,1,7,0,0,2,0,0,3,0,44,0,0,0,0
2021-12-07T04,92,1,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,7,1,0,0,6,0,0,0,0,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,2,0,0,0,0,0,0,0,3,0,0,1,9,0,0,2,1,0,0,2,34,0,0,0,0
2021-12-07T05,89,2,0,0,0,0,3,0,0,0,1,0,0,0,0,6,0,0,0,0,7,0,0,0,7,0,0,0,0,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,1,0,4,0,0,1,8,0,0,1,0,0,0,1,30,0,0,0,0
2021-12-07T06,88,2,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,7,0,0,0,4,0,0,0,0,0,1,0,4,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,1,0,0,0,0,4,0,0,1,10,0,1,4,1,0,0,3,26,0,0,0,0
2021-12-07T07,84,2,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,7,0,0,0,9,0,0,0,1,0,2,0,2,5,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,1,0,0,0,0,0,4,0,1,1,8,0,0,1,0,0,1,1,19,0,0,0,0
