bucket,total,--,AD,AE,AR,AT,AU,BB,BD,BE,BG,BR,CA,CH,CL,CM,CN,CO,CZ,DE,DK,DO,EE,ES,FI,FR,GB,GE,GH,GR,GT,HK,HU,ID,IE,IL,IN,IR,IT,JP,KE,KH,KR,KZ,LA,LT,LU,MD,MK,ML,MO,MT,MX,MY,MZ,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RO,RS,RU,SC,SE,SG,SI,SK,TH,TN,TR,TW,UA,US,UY,VE,VN,YE,ZA
2021-12-20T22,205,1,0,0,2,1,1,0,0,3,0,0,6,4,0,0,13,0,0,34,0,0,1,3,0,9,16,0,0,1,0,0,0,0,1,0,0,0,11,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1,0,0,1,0,0,5,0,2,9,0,0,1,0,0,1,0,51,0,0,0,0,0
2021-12-20T23,156,1,0,0,1,0,1,0,0,1,0,2,17,3,0,0,4,0,0,21,0,0,0,2,0,7,13,0,0,1,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,2,0,0,2,0,2,7,0,0,3,0,0,2,0,34,0,0,0,0,0
2021-12-21T00,162,3,0,0,0,0,2,0,0,1,0,1,18,1,0,0,13,0,0,11,0,0,0,1,0,10,18,0,0,1,0,0,0,0,1,0,0,0,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,3,0,2,7,0,0,1,0,1,1,2,46,0,0,0,0,0
2021-12-21T01,125,1,0,0,0,0,1,0,0,0,0,0,26,0,0,0,7,1,0,9,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,1,0,2,0,2,6,0,0,1,0,0,1,0,41,0,0,0,0,0
2021-12-21T02,121,1,0,0,0,0,1,0,0,0,0,1,18,0,1,0,8,0,0,4,0,1,0,1,0,2,8,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,6,0,0,0,1,0,0,1,0,0,1,0,2,8,0,0,1,0,0,1,0,44,0,0,1,0,0
2021-12-21T03,112,3,0,0,0,0,3,0,0,0,0,1,9,0,0,0,6,0,0,2,0,1,0,1,0,2,4,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,0,0,0,1,0,0,0,1,0,5,0,2,7,0,0,0,0,0,1,1,50,0,0,0,0,0
2021-12-21T04,94,1,0,0,0,0,1,0,0,0,0,0,8,0,0,0,6,0,0,1,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,2,8,0,0,0,0,0,1,0,45,0,0,0,0,0
2021-12-21T05,92,1,0,0,0,0,2,0,0,0,0,1,5,0,0,0,7,0,0,2,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,2,9,0,0,2,0,0,1,1,33,0,0,4,0,0
2021-12-21T06,99,1,0,1,0,0,1,0,0,0,0,0,5,0,0,0,8,0,0,7,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,2,11,0,0,7,0,0,1,0,38,0,0,0,0,0
2021-12-21T07,103,1,0,0,0,0,2,0,0,0,0,0,5,0,0,0,13,0,0,18,2,0,0,0,0,1,5,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,2,8,0,0,7,0,0,1,0,20,0,0,1,0,0
2021-12-21T08,106,1,0,0,0,1,4,0,0,0,0,0,1,0,0,0,7,0,0,13,2,0,0,1,0,5,6,0,0,0,0,0,0,0,2,1,5,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,1,0,5,0,3,7,0,0,4,0,0,2,0,19,0,0,0,0,0
2021-12-21T09,142,2,0,2,0,0,4,0,0,1,0,0,4,2,0,0,7,0,0,19,0,0,0,1,0,3,4,0,0,0,0,0,0,0,5,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,1,0,0,0,1,0,3,0,3,11,0,1,9,0,0,2,0,34,0,0,0,0,0
2021-12-21T10,122,1,0,2,0,0,0,0,0,0,0,2,4,0,0,0,7,0,0,19,0,0,0,3,0,5,4,0,0,0,0,1,0,0,0,0,0,0,4,8,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,15,0,0,0,0,0,1,0,0,0,2,0,3,8,0,0,5,0,0,1,0,23,0,0,0,0,0
2021-12-21T11,122,1,0,3,0,1,0,0,0,0,0,0,3,0,0,0,11,0,0,28,0,0,0,1,0,4,1,0,0,1,0,1,0,0,0,0,0,0,2,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1,0,0,0,2,0,5,0,4,6,0,0,4,1,0,8,0,9,0,0,0,0,0
2021-12-21T12,139,1,0,1,0,1,0,0,0,0,0,0,2,2,0,0,6,0,0,22,0,0,0,2,0,11,4,0,0,0,0,1,0,0,0,0,0,0,13,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,20,0,0,0,2,0,0,0,1,0,5,0,3,5,0,0,7,0,0,6,2,17,0,0,0,0,0
2021-12-21T13,140,2,0,0,0,0,0,0,0,0,0,0,3,2,0,0,9,0,0,21,1,0,0,1,0,9,3,0,0,0,0,2,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,1,0,3,1,1,1,5,0,2,10,0,0,8,0,0,3,1,19,0,0,0,0,0
2021-12-21T14,160,2,0,0,0,2,0,0,0,1,0,0,6,2,0,0,6,0,0,36,0,0,0,1,0,8,4,0,0,0,0,2,0,0,0,0,0,0,9,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,23,0,0,0,1,0,2,0,1,0,3,0,2,9,0,0,8,0,1,3,2,21,0,0,0,0,0
2021-12-21T15,193,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,9,0,0,39,0,1,0,2,0,11,12,0,0,0,0,0,0,0,0,0,1,0,15,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,27,1,0,0,1,0,3,1,1,1,4,0,3,12,0,0,8,0,2,5,0,22,0,0,1,0,0
2021-12-21T16,246,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,7,0,0,80,0,0,0,3,0,19,13,0,0,0,0,1,0,0,0,0,0,0,27,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1,0,1,0,0,0,1,0,3,9,0,0,5,0,2,3,1,38,0,0,0,0,0
2021-12-21T17,318,1,0,0,0,3,0,0,0,1,0,0,2,0,0,0,8,0,0,136,0,0,0,10,1,10,14,0,0,0,0,0,0,0,0,0,0,0,30,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,26,0,0,0,1,0,6,1,0,0,3,0,8,11,0,0,4,0,0,4,0,29,0,0,0,0,0
