bucket,total,--,AE,AR,AT,AU,AW,BA,BD,BE,BG,BO,BR,CA,CH,CL,CM,CN,CO,CZ,DE,DK,DZ,EC,EE,ES,ET,FI,FR,GB,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KE,KH,KR,KZ,LA,LT,LU,LV,MA,ME,MM,MN,MO,MX,MY,NL,NO,NZ,PH,PK,PL,PT,PY,RE,RO,RU,RW,SE,SG,SK,TH,TM,TR,TW,UA,US,VN,ZA,ZM
2024-05-13T23,100,1,0,1,0,2,0,1,1,0,1,0,0,9,1,0,0,10,0,0,10,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,4,1,0,1,6,0,0,0,1,0,0,28,0,1,0
2024-05-14T00,96,0,0,0,1,2,0,0,1,0,2,0,6,8,1,0,0,8,0,0,9,0,0,0,0,1,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,7,0,0,0,0,0,0,34,0,0,0
2024-05-14T01,78,0,0,0,0,2,0,0,1,0,0,0,2,9,1,0,0,5,0,0,9,0,0,0,0,1,0,0,2,7,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,6,0,0,0,0,0,0,24,1,0,0
2024-05-14T02,80,1,0,0,0,2,0,0,2,0,0,0,0,7,1,0,0,4,0,0,9,0,0,0,0,1,0,0,4,6,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,6,0,0,0,0,0,0,29,0,0,0
2024-05-14T03,96,0,0,0,0,2,0,0,1,0,0,0,1,9,1,0,0,6,0,0,6,0,0,0,0,1,0,0,4,5,0,0,2,1,0,0,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,3,0,0,0,6,0,1,0,0,0,0,36,0,0,0
2024-05-14T04,112,1,0,0,0,1,0,0,1,0,0,0,1,6,1,1,0,3,0,0,11,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,1,14,0,3,1,0,0,0,38,0,0,0
2024-05-14T05,92,2,0,1,0,2,0,0,1,0,1,0,1,5,0,1,0,5,0,0,7,0,0,0,0,1,0,0,1,5,0,0,1,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,1,0,1,9,0,4,1,0,0,0,26,0,0,0
2024-05-14T06,63,0,0,0,1,3,0,0,1,0,0,0,0,3,0,0,0,2,0,0,7,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,6,0,5,0,0,2,0,23,0,0,0
2024-05-14T07,94,0,0,0,1,2,0,0,1,0,1,0,0,1,2,0,0,7,0,0,9,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,4,0,0,0,5,1,0,0,6,0,7,0,0,3,0,25,0,0,0
2024-05-14T08,91,0,0,0,0,2,0,1,1,1,1,0,0,7,0,0,0,7,0,0,13,0,0,0,0,0,0,1,7,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,4,0,1,0,6,0,7,0,0,0,0,20,1,0,0
2024-05-14T09,107,2,1,0,0,2,0,0,1,0,0,0,2,5,0,0,0,5,0,0,15,0,0,0,0,2,0,1,7,4,0,0,1,0,0,0,0,0,5,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,2,2,0,0,7,0,3,0,1,0,0,30,0,0,0
2024-05-14T10,129,1,0,0,0,3,0,0,1,0,2,0,1,3,0,0,0,6,0,0,10,0,0,0,0,1,0,1,7,5,0,0,1,0,0,0,0,0,3,0,1,3,9,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,0,2,0,0,0,5,0,0,0,7,0,6,0,1,0,0,45,0,0,0
2024-05-14T11,96,1,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,8,1,0,9,0,0,0,0,1,0,0,5,9,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,2,0,1,0,0,0,4,0,0,0,6,0,3,0,0,6,0,25,0,1,0
2024-05-14T12,66,1,0,0,0,1,0,0,2,0,0,0,1,4,1,0,0,8,0,0,10,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,6,0,1,0,0,2,0,13,0,0,0
