bucket,total,--,AE,AR,AT,AU,BA,BD,BE,BG,BR,BT,BY,CA,CH,CL,CM,CN,CO,CY,CZ,DE,DK,DO,DZ,EC,EG,ES,FI,FR,GB,GH,GR,GT,HK,HU,ID,IE,IL,IN,IR,IT,JP,KH,KR,LA,LC,LT,LU,LV,MA,MD,MK,MM,MN,MO,MX,MY,NC,NL,NO,NZ,PA,PE,PH,PK,PL,PS,PT,RO,RU,RW,SE,SG,SK,TG,TH,TN,TR,TW,UA,UG,US,VE,VN,ZA,ZW
2024-06-24T23,95,1,0,3,0,0,0,0,0,0,0,0,0,5,2,0,0,7,0,0,0,8,0,1,0,0,0,2,0,1,7,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,1,1,1,0,5,0,0,1,0,0,0,0,0,31,0,2,0,0
2024-06-25T00,75,0,0,1,0,0,0,0,0,1,1,0,0,2,1,0,0,9,0,0,0,7,0,0,0,0,0,1,0,1,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,25,0,2,0,0
2024-06-25T01,75,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,7,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,2,1,0,0,6,0,0,1,0,0,2,0,0,23,0,2,0,0
2024-06-25T02,97,1,0,0,0,1,0,0,0,1,0,0,0,5,1,0,0,9,0,0,0,3,1,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,3,1,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,2,0,0,1,0,0,41,0,3,1,0
2024-06-25T03,101,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,12,0,0,0,4,0,0,0,0,0,2,0,1,3,0,0,0,2,0,2,0,0,0,0,0,6,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,2,0,2,0,0,1,0,1,0,0,0,2,0,0,7,0,0,4,0,0,0,0,0,38,0,2,0,0
2024-06-25T04,87,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,19,0,0,0,3,0,0,0,0,0,0,0,1,4,0,0,0,1,0,2,0,0,1,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,2,0,0,1,0,1,0,0,0,3,0,0,5,0,0,3,0,0,0,0,0,29,0,0,0,0
2024-06-25T05,72,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,19,0,0,0,4,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,5,0,0,1,0,0,1,0,0,29,0,1,0,0
2024-06-25T06,72,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,1,0,0,6,0,0,1,0,0,2,0,0,25,0,0,0,0
2024-06-25T07,82,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,18,0,0,0,4,0,0,0,0,0,0,0,5,6,0,0,0,2,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0,1,0,2,0,0,1,1,0,0,6,0,0,1,0,0,0,0,0,22,0,0,0,0
2024-06-25T08,93,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,19,0,0,0,8,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,0,3,0,1,0,0,0,0,2,0,0,2,0,0,1,6,0,0,3,0,0,0,0,0,30,0,0,0,0
2024-06-25T09,84,2,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,21,0,0,0,5,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,1,0,0,4,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,0,2,1,1,0,0,0,0,2,0,0,0,0,1,0,7,0,0,5,0,1,0,0,0,15,0,0,0,0
2024-06-25T10,79,0,0,1,1,3,0,1,0,0,1,0,0,0,1,0,0,13,0,0,0,7,0,0,0,0,0,1,0,0,5,0,0,0,2,0,1,0,0,1,0,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,5,0,0,4,0,0,0,0,0,19,0,0,0,0
2024-06-25T11,77,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,9,0,0,0,7,0,0,0,0,0,2,0,1,4,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,5,0,0,4,0,0,22,0,0,0,0
2024-06-25T12,95,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,11,0,0,0,5,0,0,0,0,0,1,0,3,8,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,14,0,0,6,0,0,2,0,0,30,0,0,1,0
2024-06-25T13,104,1,0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,13,0,0,0,11,0,0,0,0,0,1,0,2,3,0,0,0,3,0,0,0,0,1,0,4,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,1,0,0,0,14,0,0,10,0,0,2,0,0,18,0,1,1,0
2024-06-25T14,108,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,11,0,0,0,8,0,0,0,0,0,1,0,5,3,0,0,0,3,0,0,0,0,1,0,3,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,13,0,0,9,0,0,4,0,0,30,0,0,0,0
2024-06-25T15,122,3,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,9,0,0,0,12,0,0,0,0,0,4,0,5,5,0,0,0,1,0,0,0,0,1,0,11,4,0,2,0,0,1,0,0,0,0,0,0,0,3,0,0,0,4,0,1,0,0,1,0,0,0,1,0,0,1,1,8,0,0,13,0,0,2,0,0,24,0,1,0,0
2024-06-25T16,133,1,0,0,0,0,0,0,1,0,2,0,0,2,1,0,0,7,0,0,1,14,1,0,0,0,0,5,0,9,9,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1,0,0,0,2,0,1,0,1,0,0,0,5,5,0,0,19,0,1,2,0,0,23,0,0,0,0
2024-06-25T17,166,0,0,1,1,0,0,0,1,1,1,0,0,3,3,0,0,8,0,0,0,25,2,0,0,0,0,4,0,5,9,0,1,0,3,0,0,0,0,3,0,14,0,0,0,0,0,2,0,0,0,1,0,0,1,0,2,0,0,9,1,0,0,0,1,0,2,0,0,1,1,0,4,8,0,0,13,0,1,1,0,0,33,0,0,0,0
2024-06-25T18,160,1,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,7,0,0,0,28,1,0,0,0,0,1,0,7,18,0,0,0,1,3,0,0,0,1,1,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,1,0,1,0,0,3,1,0,5,5,0,0,10,0,1,0,0,0,29,0,1,0,0
