bucket,total,--,AE,AO,AR,AT,AU,BA,BD,BE,BG,BN,BR,BY,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KH,KR,KZ,LK,LT,LU,LV,MD,MK,MM,MN,MO,MU,MX,MY,NG,NL,NO,NZ,PE,PH,PL,PR,PT,PY,QA,RO,RS,RU,RW,SE,SG,SI,SK,TH,TN,TR,TW,UA,UG,US,VN,ZA
2024-08-26T21,152,1,0,0,1,0,0,0,0,1,1,0,1,0,4,2,1,0,7,1,0,0,34,0,0,0,0,0,0,1,0,0,7,10,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,6,2,0,0,0,1,0,0,0,0,3,0,1,0,0,6,0,0,1,0,1,0,1,0,39,0,0
2024-08-26T22,149,1,0,0,1,0,2,0,0,0,2,0,1,0,10,1,0,0,16,1,0,0,13,0,0,0,0,0,0,3,0,0,1,11,0,2,1,0,1,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,1,0,7,0,0,2,0,1,0,0,0,50,0,0
2024-08-26T23,134,0,0,0,3,0,0,0,0,0,1,0,2,0,8,0,3,0,16,0,0,0,6,0,0,0,0,0,0,1,0,0,1,13,0,0,0,0,0,0,0,1,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,1,0,1,0,0,0,55,0,0
2024-08-27T00,95,2,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,18,1,0,0,5,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,2,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,40,0,0
2024-08-27T01,118,0,0,0,0,0,0,0,0,0,2,0,1,0,5,0,2,0,21,0,0,0,5,0,0,0,0,0,0,0,0,0,3,5,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,0,6,1,0,0,0,0,0,0,0,50,0,0
2024-08-27T02,91,3,0,0,0,0,1,0,0,0,1,0,2,0,1,0,2,0,19,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,7,0,0,1,0,0,0,0,0,37,0,1
2024-08-27T03,69,0,0,0,1,0,0,0,0,0,2,0,0,1,4,0,1,0,14,0,0,0,4,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,7,0,0,0,0,0,0,0,0,28,0,0
2024-08-27T04,68,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,1,0,17,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,1,0,0,0,0,0,26,0,0
2024-08-27T05,63,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,15,0,0,0,5,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,1,0,0,0,0,0,21,0,0
2024-08-27T06,78,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,19,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,2,0,0,0,1,0,29,0,0
2024-08-27T07,81,2,0,0,0,0,0,0,0,1,2,0,1,0,4,0,0,0,16,0,0,0,5,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,4,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,1,0,24,0,0
2024-08-27T08,75,1,0,0,0,0,0,0,0,1,2,0,1,0,3,0,0,0,23,0,0,0,4,0,0,0,0,0,0,1,0,0,3,5,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,6,0,0,0,1,0,0,0,0,16,0,0
2024-08-27T09,83,3,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,19,0,0,0,4,0,0,0,0,0,0,1,0,0,3,6,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,6,0,0,4,1,0,0,0,0,21,0,0
2024-08-27T10,82,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,12,0,0,0,6,0,0,0,0,0,1,0,0,0,2,5,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,0,0,0,0,0,1,0,7,0,0,5,0,2,1,0,1,23,0,0
2024-08-27T11,109,2,0,0,0,0,1,0,0,1,2,0,0,0,3,2,0,0,9,0,0,0,6,0,0,0,0,0,1,3,0,0,3,5,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,5,0,0,1,0,0,1,0,4,0,0,6,0,0,6,0,1,4,0,1,27,0,0
2024-08-27T12,103,1,1,0,0,0,0,0,0,0,1,0,2,0,5,1,0,0,10,0,0,0,11,0,0,0,0,0,0,2,0,0,6,8,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,4,1,0,2,0,0,1,0,2,0,0,6,0,0,5,0,0,3,0,0,20,0,0
2024-08-27T13,110,1,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,10,0,0,0,11,0,0,0,0,0,0,2,0,0,8,7,0,3,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,2,1,0,0,0,0,1,0,1,0,0,7,0,1,9,0,0,2,0,0,28,0,0
2024-08-27T14,121,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,11,0,0,0,18,0,0,0,0,0,0,0,0,0,5,11,0,1,0,0,1,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,1,0,0,1,0,0,1,0,0,2,0,2,0,0,7,1,0,6,0,0,2,0,0,33,0,0
2024-08-27T15,130,0,0,0,1,1,0,0,0,0,1,0,1,0,5,0,0,0,9,0,0,0,16,0,0,0,0,0,0,2,0,1,7,11,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,0,1,0,0,2,0,3,0,0,8,0,0,11,0,0,6,0,0,25,0,0
2024-08-27T16,149,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,17,0,0,0,25,0,0,0,0,0,0,5,0,2,17,5,0,1,0,0,1,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,3,0,1,0,0,1,0,2,0,4,6,0,0,9,0,0,4,0,0,26,1,0
2024-08-27T17,166,0,0,1,1,2,0,0,0,0,0,0,0,0,4,1,0,0,21,0,0,1,23,0,0,0,0,0,0,4,0,3,14,11,0,1,0,0,1,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,2,0,0,0,1,0,0,0,0,1,0,4,0,3,6,0,0,7,0,0,0,0,0,32,1,0
