bucket,total,--,AE,AL,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BY,CA,CH,CL,CN,CO,CR,CZ,DE,DK,DO,EE,EG,ES,FI,FR,GB,GE,GR,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KE,KG,KH,KR,KZ,LA,LK,LT,LV,MD,ME,MK,MN,MO,MT,MU,MX,MY,NC,NG,NL,NO,NZ,PE,PH,PK,PL,PR,PS,PT,PY,RO,RS,RU,RW,SA,SE,SG,SI,SY,TH,TN,TR,TW,UA,US,UY,VE,VN,ZA
2024-07-30T02,61,2,0,0,1,0,0,0,0,0,0,2,0,1,0,3,0,0,8,0,0,0,5,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,22,0,0,0,0
2024-07-30T03,81,2,0,0,1,0,0,0,0,2,1,0,0,1,0,5,0,0,7,0,0,0,4,0,0,0,0,1,0,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,5,0,0,1,0,2,0,0,34,0,0,1,0
2024-07-30T04,62,3,0,0,0,0,0,0,0,2,0,1,0,0,0,3,0,0,4,0,0,0,6,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,26,0,0,0,0
2024-07-30T05,69,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,4,0,0,0,5,0,0,0,0,0,0,2,5,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,6,0,0,1,0,0,0,0,29,0,0,0,0
2024-07-30T06,73,1,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0,7,1,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,6,0,0,2,0,0,0,0,30,0,0,0,0
2024-07-30T07,79,4,0,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,9,1,0,0,5,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,3,0,0,1,7,0,0,4,0,0,0,0,26,0,0,0,0
2024-07-30T08,97,1,0,0,0,1,0,0,0,1,0,0,0,1,0,4,0,0,8,0,0,0,5,0,0,0,0,1,0,4,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,4,1,0,0,6,0,0,4,0,0,0,0,33,0,0,1,1
2024-07-30T09,89,3,0,0,0,1,0,0,0,1,0,1,0,1,0,3,1,0,7,0,0,0,11,0,0,0,0,1,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,2,0,0,0,0,1,0,2,1,0,0,5,0,0,3,0,0,0,0,29,0,0,0,0
2024-07-30T10,79,2,0,0,0,0,3,0,0,1,0,1,0,0,0,4,0,0,9,0,0,0,10,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,6,0,0,0,0,21,0,0,0,0
2024-07-30T11,88,2,0,0,0,1,1,0,0,0,0,0,0,0,0,4,1,0,7,0,0,0,12,0,0,0,0,0,0,1,5,0,0,1,0,0,1,1,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,7,0,0,4,0,0,1,0,27,0,0,0,0
