bucket,total,--,AE,AM,AR,AT,AU,BA,BB,BD,BE,BG,BH,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DZ,EC,EE,ES,ET,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JO,JP,KG,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MA,MC,MD,MK,MM,MO,MU,MX,MY,NC,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PR,PT,PY,RO,RS,RU,RW,SC,SD,SE,SG,SI,SK,SN,TH,TN,TR,TW,UA,UG,US,UZ,VE,VN,ZA,ZW
2024-01-22T19,211,3,0,0,0,2,0,0,0,0,1,1,0,0,1,0,9,1,0,0,0,5,0,0,0,0,46,1,0,0,0,3,0,0,10,18,1,0,0,0,0,0,1,0,0,0,0,16,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,22,0,0,1,0,0,0,1,0,2,0,1,0,2,0,0,0,6,5,0,0,0,10,0,2,0,1,0,34,0,0,0,0,0
2024-01-22T20,176,0,0,0,1,2,0,0,0,0,2,1,0,0,1,0,5,2,0,0,0,6,1,0,0,0,16,1,0,0,0,1,0,0,11,17,0,0,1,0,0,1,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,21,0,0,0,0,0,0,3,0,2,0,2,0,4,2,0,0,3,6,1,0,0,10,0,0,0,0,0,35,0,0,1,0,0
2024-01-22T21,178,1,0,0,2,0,0,0,0,0,0,1,0,0,4,0,6,3,0,0,0,10,2,0,0,0,28,1,0,0,0,1,0,0,7,11,0,0,1,0,0,1,1,0,1,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,1,0,0,0,0,0,1,0,4,0,2,0,0,0,0,0,2,6,0,0,0,7,0,2,0,0,0,38,0,0,1,0,0
2024-01-22T22,129,3,0,0,0,0,0,0,0,0,2,1,0,0,1,0,11,0,0,0,1,11,1,0,0,0,10,0,1,0,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,3,6,2,0,0,4,0,1,0,0,0,25,0,0,0,0,0
2024-01-22T23,126,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,13,0,0,0,0,9,0,0,0,0,15,1,0,0,0,1,0,0,4,11,0,0,1,0,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,1,5,0,0,0,1,0,1,1,0,0,27,0,0,0,0,0
2024-01-23T00,102,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,8,1,0,0,0,8,0,0,0,0,7,0,0,0,0,3,0,0,2,8,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,40,0,0,2,0,0
2024-01-23T01,92,2,0,0,0,0,0,0,0,0,0,1,0,1,2,0,8,1,0,0,0,7,0,0,0,0,5,0,0,0,0,1,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
2024-01-23T02,106,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,14,1,0,0,0,6,0,1,0,0,7,0,0,0,0,0,0,0,1,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,6,0,0,0,2,0,0,0,0,0,44,0,0,0,0,0
2024-01-23T03,83,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,10,1,0,0,0,10,0,1,0,0,4,0,0,0,0,0,0,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0
2024-01-23T04,91,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,5,0,0,0,0,14,0,0,0,0,4,0,0,0,0,1,0,0,2,4,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,1,0,0,2,0,0,38,0,0,0,0,1
2024-01-23T05,94,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,16,0,0,0,0,5,0,0,0,0,0,0,0,3,4,0,0,0,0,0,1,0,0,1,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,0,0,0,5,0,0,0,2,0,1,3,0,0,28,0,0,0,1,1
2024-01-23T06,77,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4,0,0,0,0,19,0,0,0,0,3,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,3,0,0,23,0,0,0,0,0
