bucket,total,--,AE,AF,AO,AR,AT,AU,AZ,BA,BD,BE,BG,BH,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GE,GH,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JO,JP,KG,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MA,MK,MM,MN,MO,MU,MX,MY,NC,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PS,PT,PY,RO,RS,RU,RW,SA,SE,SG,SY,SZ,TG,TH,TN,TR,TW,TZ,UA,US,UY,VE,VN,ZA,ZM,ZW
2024-04-22T18,182,1,0,0,0,0,1,1,0,1,0,1,1,0,0,3,0,1,1,0,0,0,6,0,0,47,0,0,0,0,0,0,5,0,7,8,0,0,0,1,0,1,0,0,0,0,0,0,0,11,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,22,1,1,0,0,0,1,1,0,0,0,2,0,1,0,0,5,6,0,1,0,9,0,2,2,0,1,25,0,0,0,0,0,0
2024-04-22T19,185,0,0,0,0,0,1,2,0,1,0,3,2,0,0,0,0,2,2,0,0,0,4,0,0,37,0,0,0,0,0,0,5,1,11,9,0,0,0,1,0,1,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,18,2,0,0,0,0,0,2,0,0,0,2,1,0,0,0,4,9,0,1,0,11,0,0,1,0,0,31,0,0,0,0,0,0
2024-04-22T20,159,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,4,4,0,0,0,5,0,0,39,0,0,0,0,0,0,2,0,9,7,0,0,0,1,1,0,0,0,0,0,0,0,0,14,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,13,1,0,0,0,0,0,2,0,0,0,3,0,3,1,0,2,6,0,0,0,5,0,1,2,0,0,25,0,0,0,0,0,0
2024-04-22T21,160,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,2,0,0,0,12,0,0,22,0,0,0,0,0,0,3,0,2,11,0,0,0,2,0,0,0,0,0,1,0,0,0,18,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,1,0,0,0,1,0,0,0,2,0,3,0,0,3,8,0,0,0,5,0,0,4,0,0,32,0,0,0,1,0,0
2024-04-22T22,119,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,7,2,0,0,0,7,0,0,18,0,0,0,0,0,0,2,0,5,6,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,5,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,6,0,0,0,4,0,0,1,0,0,28,0,0,1,0,0,0
2024-04-22T23,100,2,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,9,0,0,0,0,4,0,0,11,0,0,0,0,0,0,2,0,2,5,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,1,0,0,35,0,0,0,0,0,0
2024-04-23T00,85,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,5,0,1,0,0,5,0,0,9,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,5,0,0,0,3,0,0,1,0,0,35,0,0,0,1,0,0
2024-04-23T01,83,1,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,7,0,1,0,0,6,1,0,6,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,5,0,0,0,2,0,0,1,0,0,34,0,0,0,0,0,0
2024-04-23T02,77,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,6,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,5,0,0,0,2,0,0,1,0,0,33,0,0,0,0,0,0
2024-04-23T03,85,1,0,0,0,1,0,1,0,0,1,0,2,0,0,0,0,2,1,0,0,0,9,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,2,1,0,0,5,0,0,0,1,0,0,2,0,0,36,0,0,0,0,0,0
