bucket,total,--,AE,AL,AM,AR,AT,AU,BA,BD,BE,BG,BI,BO,BR,BY,CA,CH,CL,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KH,KR,KZ,LA,LB,LK,LT,LU,LV,MD,MK,MM,MN,MO,MT,MX,MY,MZ,NC,NG,NI,NL,NO,NP,NZ,PE,PH,PK,PL,PM,PT,PY,RO,RS,RU,RW,SC,SE,SG,SI,SK,SV,TH,TN,TR,TT,TW,TZ,UA,US,UY,UZ,VE,VN,ZA
2024-02-26T20,172,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,2,4,0,10,0,0,0,28,0,0,0,0,0,0,2,0,16,14,0,1,0,0,0,1,0,2,0,1,13,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,1,0,5,0,1,0,2,0,3,0,0,2,6,0,0,0,6,0,1,0,0,0,0,25,0,0,0,0,0
2024-02-26T21,144,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,0,9,0,0,0,23,0,0,0,0,0,0,2,0,11,11,0,1,0,0,0,1,0,2,0,0,19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,4,6,0,0,0,2,0,2,0,0,0,0,23,0,0,0,0,0
2024-02-26T22,124,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3,3,0,12,0,0,0,15,1,0,1,0,0,0,0,0,3,9,0,1,0,0,0,1,0,3,0,0,15,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,2,0,1,0,1,1,0,1,7,0,0,0,3,0,0,0,0,0,0,26,0,0,0,0,0
2024-02-26T23,122,3,0,0,0,4,1,0,0,0,0,1,0,0,0,0,9,3,0,10,0,0,0,11,0,0,0,0,0,0,1,1,4,9,0,1,0,0,0,0,0,2,0,0,13,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7,0,0,0,3,0,0,0,0,0,0,27,0,0,0,0,0
2024-02-27T00,107,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,6,1,0,6,0,0,0,9,0,0,0,0,0,0,1,1,2,4,0,2,0,0,0,0,0,3,0,0,5,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,2,0,0,0,0,0,0,43,0,0,0,0,0
2024-02-27T01,106,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,10,0,0,0,5,0,0,0,0,0,0,0,1,3,2,1,0,0,0,0,0,0,4,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,55,0,0,0,0,2
2024-02-27T02,99,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6,0,0,12,0,0,0,3,0,0,0,0,0,0,0,0,2,5,0,1,0,0,0,4,0,2,0,0,2,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,7,0,0,0,2,0,0,0,0,0,0,37,0,0,0,0,0
2024-02-27T03,106,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,14,0,0,0,4,0,0,0,0,0,0,0,0,1,4,1,0,0,0,1,0,0,1,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,5,0,0,0,2,0,0,0,0,0,0,49,0,0,0,0,0
2024-02-27T04,95,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,7,0,1,8,0,0,0,3,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5,0,0,0,1,0,0,0,1,0,0,34,0,0,0,0,0
2024-02-27T05,114,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,15,0,0,0,15,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,2,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,6,0,0,0,0,0,0,0,1,0,0,41,0,0,0,2,1
