bucket,total,--,AE,AR,AT,AU,BA,BB,BD,BE,BG,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CZ,DE,DK,EE,ES,FI,FR,GB,GF,GR,HK,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KE,KH,KR,LA,LK,LT,LU,LV,MD,ME,MM,MN,MO,MU,MX,MY,NC,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PS,PT,PY,RO,RS,RU,RW,SE,SG,SK,TH,TN,TR,TW,UA,US,UZ,VE,VN,ZA
2024-05-07T05,108,2,0,0,0,2,0,0,1,0,1,0,0,0,2,1,0,0,0,18,1,0,7,0,0,1,0,4,3,0,0,2,0,1,0,0,0,0,0,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,1,1,1,0,0,0,0,0,2,0,0,8,0,1,0,0,1,0,30,0,0,3,0
2024-05-07T06,92,0,0,0,0,3,0,0,2,1,1,0,0,0,1,0,0,0,0,22,1,0,3,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,7,0,3,0,1,0,0,30,0,0,0,0
2024-05-07T07,77,0,0,0,0,1,0,0,1,2,1,0,0,0,0,1,0,0,0,13,0,0,4,0,0,0,0,4,5,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,6,0,5,0,0,0,0,20,0,0,0,0
2024-05-07T08,99,0,0,0,0,4,0,0,1,0,0,0,0,0,2,1,0,0,0,19,0,0,8,0,0,1,0,6,7,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,1,0,0,0,3,0,0,0,1,6,0,4,0,0,3,0,21,0,0,0,0
2024-05-07T09,100,0,0,0,0,2,0,0,1,0,1,0,2,0,2,1,0,0,1,19,0,0,9,0,0,2,0,4,5,0,0,3,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,6,0,2,0,0,2,1,23,0,0,0,0
2024-05-07T10,91,1,0,0,0,3,0,0,1,0,0,0,1,0,0,3,0,0,0,6,0,0,9,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,3,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,6,0,2,0,1,2,0,26,0,0,0,0
2024-05-07T11,90,1,0,0,0,1,0,0,1,1,2,0,0,0,1,0,0,0,0,7,0,0,12,0,0,2,0,4,3,0,0,2,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,3,0,1,0,2,6,0,3,0,0,6,0,21,0,0,0,0
2024-05-07T12,112,0,0,0,0,1,0,0,1,0,1,0,1,0,2,0,0,0,0,6,0,0,10,0,0,2,0,8,4,0,0,1,0,0,0,0,0,0,0,2,7,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,1,0,2,0,2,0,0,0,3,0,1,0,0,11,0,10,0,1,1,1,21,1,0,0,0
2024-05-07T13,103,1,0,0,0,1,0,0,1,0,1,0,2,0,1,0,0,0,0,7,0,0,7,0,0,0,0,9,4,0,0,1,0,1,0,0,0,0,0,2,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,1,0,0,0,1,0,1,0,0,0,2,0,2,0,2,7,0,11,0,0,2,0,19,1,0,0,0
2024-05-07T14,134,0,0,0,1,1,0,0,1,0,1,0,0,0,2,0,0,0,0,8,0,0,18,0,0,1,0,7,5,0,0,6,0,0,0,0,0,0,0,6,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,1,0,3,0,0,0,4,0,2,0,3,8,0,13,0,0,4,0,26,0,0,0,0
2024-05-07T15,146,1,0,0,0,3,1,0,1,0,2,0,2,0,2,0,0,0,0,4,0,0,19,0,0,2,0,16,4,1,0,4,0,0,0,0,1,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,1,0,0,0,4,0,3,0,4,6,0,13,0,0,8,0,25,0,0,2,0
2024-05-07T16,147,1,0,0,0,2,1,0,1,0,1,0,0,0,0,1,0,0,0,4,0,0,22,0,0,2,1,18,7,0,0,4,1,0,0,0,1,0,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,0,0,0,1,0,2,0,0,0,2,0,2,0,2,7,0,8,0,0,7,1,21,0,0,2,0
2024-05-07T17,179,1,0,0,1,1,1,0,1,1,2,0,0,0,1,1,0,0,0,2,0,0,43,0,0,4,0,14,13,0,0,3,1,0,0,0,1,0,0,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,0,0,0,0,0,1,0,1,0,6,0,1,0,3,7,0,9,0,0,4,0,25,0,0,2,0
2024-05-07T18,185,2,0,0,1,2,1,0,1,2,0,0,2,0,1,1,0,0,0,4,0,0,51,0,0,2,0,6,10,0,1,0,0,0,0,0,0,0,0,13,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,0,0,0,0,3,0,2,0,3,0,2,0,2,6,0,7,0,0,6,0,30,0,0,1,0
2024-05-07T19,174,1,0,0,0,1,1,0,1,2,1,0,1,0,2,1,0,0,0,5,0,0,30,0,0,3,0,10,12,0,0,4,0,1,1,0,0,0,0,20,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,22,0,0,0,0,0,0,2,0,0,0,2,0,4,0,2,7,0,6,0,0,3,0,21,0,0,1,0
2024-05-07T20,141,0,0,0,0,1,0,0,1,1,1,0,3,0,1,0,0,1,0,2,0,0,22,0,0,1,0,12,8,0,1,0,1,0,0,0,0,0,0,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,2,0,2,0,1,0,1,0,0,6,0,4,0,0,1,0,30,0,0,1,0
