bucket,total,--,AE,AR,AT,AU,BA,BD,BE,BG,BH,BN,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,DM,DO,DZ,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JO,JP,KE,KH,KR,KY,KZ,LA,LB,LK,LT,LU,LV,MA,MD,MK,MM,MN,MO,MR,MU,MX,MY,NA,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PT,PY,RO,RU,RW,SA,SC,SE,SG,SK,SN,TG,TH,TN,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA,ZW
2023-06-26T18,177,1,0,2,0,0,0,0,1,0,1,0,0,1,0,7,4,0,1,3,0,0,0,36,0,0,0,0,0,0,6,0,0,2,19,0,0,0,0,0,0,0,1,1,1,1,0,0,15,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,27,1,1,0,0,1,1,1,0,0,0,2,0,0,0,3,5,0,0,0,8,0,1,2,0,0,0,16,0,0,0,0,0,0
2023-06-26T19,161,1,0,0,0,0,0,0,0,1,0,0,0,1,0,7,3,2,0,7,0,0,0,30,0,0,0,0,0,0,4,0,0,8,16,0,0,0,0,0,0,0,1,0,1,1,0,0,14,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,5,0,0,0,3,6,0,0,0,8,0,0,2,0,1,0,20,0,0,0,0,0,0
2023-06-26T20,146,3,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,1,0,7,0,0,0,28,0,0,0,0,0,0,2,0,0,9,15,0,0,0,0,1,0,1,0,0,0,0,0,0,16,0,2,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,1,0,0,0,0,0,1,0,0,1,2,0,0,0,1,6,0,0,0,4,0,2,2,0,0,0,12,0,0,0,0,0,0
2023-06-26T21,134,1,0,1,0,0,0,0,2,0,0,0,0,1,0,6,0,0,0,5,0,0,0,19,0,0,0,0,0,0,0,0,0,6,18,0,0,0,0,0,0,1,0,0,0,1,0,0,20,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,1,0,1,4,0,0,0,0,6,0,0,0,6,0,3,1,0,0,0,19,0,0,0,1,0,0
2023-06-26T22,123,1,0,0,0,0,0,0,1,0,0,0,0,1,0,6,1,0,0,23,0,0,0,12,0,0,0,0,0,0,2,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0,0,8,0,2,2,0,1,0,21,2,0,0,0,0,0
2023-06-26T23,107,2,1,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,16,0,0,0,4,0,0,0,0,0,0,1,0,0,3,4,0,0,0,0,2,0,0,0,0,0,1,0,0,4,0,1,0,0,4,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,6,0,1,1,0,1,0,29,0,0,0,0,0,0
2023-06-27T00,96,3,0,1,0,0,0,0,0,2,0,0,0,2,0,9,0,2,0,18,0,0,0,3,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,2,0,1,2,0,0,0,27,0,0,0,0,0,0
2023-06-27T01,102,3,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,24,0,0,0,5,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,3,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,1,0,0,2,0,0,0,0,0,0,29,1,0,0,0,0,0
2023-06-27T02,93,2,0,1,0,1,0,0,0,0,0,0,0,1,0,5,0,1,0,28,0,0,0,3,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,4,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,4,0,0,0,0,1,0,20,0,0,0,0,0,0
2023-06-27T03,91,2,0,1,0,1,0,0,0,0,0,0,0,0,0,6,0,1,0,23,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,5,0,0,0,1,0,0,0,0,2,0,26,0,0,0,1,0,0
2023-06-27T04,68,2,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,11,0,0,0,2,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,25,0,0,0,1,0,1
2023-06-27T05,68,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,3,0,0,1,0,0,0,26,0,0,0,1,0,0
