bucket,total,--,AE,AL,AM,AR,AT,AU,BA,BB,BD,BE,BF,BG,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CV,CZ,DE,DK,DO,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,HK,HR,HT,HU,ID,IE,IL,IN,IQ,IR,IT,JM,JO,JP,KE,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MA,MD,MK,MM,MO,MX,MY,NA,NG,NI,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PT,PY,RO,RS,RU,RW,SC,SE,SG,SI,SK,SO,TH,TN,TR,TW,TZ,UA,US,UY,UZ,VE,VN,WS,ZA
2023-08-07T19,132,3,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,10,1,0,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,6,0,1,0,3,0,1,1,0,3,5,0,0,0,3,0,1,0,0,0,14,0,0,0,0,0,0
2023-08-07T20,169,6,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,7,1,0,1,0,1,1,0,0,0,19,0,0,1,0,0,1,0,0,13,14,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,3,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,15,0,0,1,0,0,0,0,2,0,3,0,2,0,4,0,0,3,7,0,0,0,10,0,3,0,0,1,28,0,0,0,1,0,0
2023-08-07T21,123,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,3,3,0,0,0,15,0,0,1,0,0,1,0,0,15,10,0,0,0,1,0,0,0,1,0,0,0,0,0,11,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,8,1,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,3,7,0,0,0,5,0,2,0,0,0,13,0,0,0,1,0,0
2023-08-07T22,109,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,2,1,0,0,0,13,0,0,0,0,0,2,0,0,12,9,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,3,8,0,0,0,2,0,0,0,0,0,16,1,0,1,0,0,0
2023-08-07T23,101,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,1,0,2,0,3,0,0,0,0,9,0,0,0,0,0,1,0,0,4,5,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,3,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,0,1,0,4,1,0,1,9,0,0,0,1,0,0,0,0,1,30,0,0,1,0,0,0
2023-08-08T00,79,7,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,8,1,0,0,0,4,0,0,0,0,6,0,0,2,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0
2023-08-08T01,96,2,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,6,0,0,1,0,1,1,0,0,0,6,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,5,0,0,0,3,0,0,1,0,1,53,0,0,0,0,0,0
2023-08-08T02,88,4,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,6,0,0,1,0,4,1,0,0,0,3,0,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,3,1,0,0,5,0,0,0,0,0,0,1,0,0,31,0,0,0,0,0,0
2023-08-08T03,95,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,5,0,0,0,0,4,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,4,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,1,0,1,48,0,0,0,0,0,1
2023-08-08T04,63,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,1,1,0,5,0,0,0,3,0,0,0,0,0,24,0,0,0,0,0,0
