bucket,total,--,AE,AL,AR,AT,AU,BA,BB,BD,BE,BG,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CW,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GH,GM,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KG,KH,KR,KW,KZ,LA,LB,LK,LT,LV,MA,MD,MM,MN,MO,MT,MX,MY,NC,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RO,RS,RU,RW,SC,SD,SE,SG,SI,SK,TH,TN,TR,TW,UA,US,UY,UZ,VE,VN,ZA,ZM
2024-01-01T22,139,1,0,0,0,1,0,0,0,0,2,0,0,0,0,7,3,0,0,0,3,0,0,0,0,0,19,1,0,0,0,0,0,2,1,6,13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,1,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,1,2,0,0,0,1,1,0,0,2,0,0,0,0,5,0,0,3,0,0,0,0,31,1,0,0,0,0,0
2024-01-01T23,132,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2,1,0,0,6,0,0,0,0,0,11,0,0,0,0,0,0,4,0,4,14,0,0,0,0,1,0,0,1,3,0,2,0,0,0,10,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,3,0,0,0,3,0,0,0,2,5,0,0,2,0,0,0,0,35,0,0,0,1,0,0
2024-01-02T00,111,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,4,0,2,0,0,0,4,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,1,0,0,0,4,0,0,0,0,5,0,0,4,0,0,0,0,46,0,0,0,2,0,0
2024-01-02T01,87,2,1,0,0,0,0,0,1,0,0,0,0,0,0,6,1,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,2,0,0,0,0,5,0,0,2,0,0,0,0,34,0,0,0,0,0,0
2024-01-02T02,89,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,1,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,1,0,0,0,0,39,0,0,0,1,0,0
2024-01-02T03,76,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,1,0,0,0,5,0,0,1,0,0,0,0,32,0,0,0,0,0,0
2024-01-02T04,74,0,0,0,0,0,2,0,0,0,0,0,0,1,0,7,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,6,0,0,1,0,0,1,0,27,0,0,0,0,0,0
2024-01-02T05,61,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,1,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,2,0,0,0,0,5,0,0,1,0,0,0,0,20,0,0,0,0,0,0
2024-01-02T06,84,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,5,0,1,0,0,2,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,6,0,0,3,0,1,1,0,30,0,0,0,1,0,0
2024-01-02T07,74,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,5,1,0,0,0,0,6,0,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,2,0,0,0,0,5,0,0,2,0,1,0,0,30,0,0,0,0,1,0
2024-01-02T08,80,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,1,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,1,0,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,2,0,2,0,5,0,0,0,0,5,0,0,2,0,0,1,0,21,0,0,0,0,0,0
