bucket,total,--,AE,AL,AR,AT,AU,AZ,BA,BD,BE,BG,BJ,BO,BR,BY,CA,CH,CL,CN,CO,CR,CV,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KH,KR,KZ,LA,LB,LK,LT,LU,LV,MA,MD,MK,MO,MR,MX,MY,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PS,PT,PY,RO,RS,RU,RW,SA,SC,SE,SG,SK,SN,TH,TM,TN,TR,TW,UA,UG,US,UY,VE,VN,ZA,ZM,ZW
2023-05-29T23,93,2,0,0,2,0,0,0,0,0,0,0,0,0,3,0,10,0,2,10,1,0,0,0,4,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,1,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0,0,1,6,0,0,1,0,0,0,0,0,0,21,0,0,0,0,0,0
2023-05-30T00,84,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,1,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,6,0,0,2,0,0,0,1,0,0,30,0,0,0,1,0,0
2023-05-30T01,73,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,1,0,3,1,0,0,0,6,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,5,0,0,1,0,0,0,0,2,0,25,0,0,0,0,0,0
2023-05-30T02,75,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9,1,0,3,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,3,0,0,1,0,2,0,21,0,0,0,0,0,0
2023-05-30T03,72,3,0,0,1,1,1,0,0,2,0,0,0,0,0,0,7,0,0,3,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,5,0,0,0,0,0,1,0,1,0,22,0,0,1,0,0,0
2023-05-30T04,58,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,6,0,0,2,0,0,0,0,0,0,15,0,0,0,0,0,0
2023-05-30T05,94,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,3,0,0,4,1,0,0,0,6,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,1,0,0,0,1,0,0,46,0,0,1,0,0,0
2023-05-30T06,76,3,0,0,0,1,1,0,0,0,0,0,0,0,2,0,5,0,0,6,1,0,0,0,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,6,0,0,1,0,0,0,1,0,0,23,0,0,1,1,0,0
2023-05-30T07,90,4,0,0,0,0,0,0,0,2,0,0,0,0,1,0,4,0,0,4,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,1,5,0,0,0,0,0,0,0,1,0,31,0,0,1,0,0,0
2023-05-30T08,105,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,5,1,0,0,0,7,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,1,0,0,0,1,0,0,7,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,1,0,40,0,0,1,0,1,0
