bucket,total,--,AE,AM,AR,AT,AU,AZ,BA,BD,BE,BG,BH,BO,BR,BY,BZ,CA,CH,CI,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KH,KR,KW,KZ,LA,LB,LT,LU,LV,MA,MC,MD,MK,MM,MO,MW,MX,MY,NC,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PT,PY,QA,RO,RU,RW,SA,SC,SE,SG,SI,SK,TG,TH,TL,TN,TR,TW,TZ,UA,US,UY,UZ,VE,VI,VN,ZA,ZM
2023-12-04T18,174,1,1,0,2,0,1,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,4,0,0,0,0,44,0,0,0,0,0,0,1,0,6,11,0,0,3,1,0,0,0,0,1,0,0,0,19,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,1,0,5,0,0,0,3,3,0,0,0,3,5,0,1,0,6,0,0,0,2,0,0,28,0,0,0,0,0,0,0
2023-12-04T19,183,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,7,1,0,0,0,6,0,0,0,1,47,2,0,0,0,0,0,2,0,11,11,0,0,0,0,0,0,0,0,3,0,0,0,12,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,1,0,0,0,2,0,0,0,5,3,0,0,0,2,5,0,1,0,4,0,0,1,1,0,0,29,0,0,0,0,0,1,0
2023-12-04T20,150,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,3,2,0,0,0,3,0,0,0,0,22,0,0,0,0,0,0,3,0,14,16,0,0,1,0,0,0,0,0,1,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,2,0,0,0,2,0,0,0,2,5,0,0,0,2,5,0,0,0,2,0,0,0,0,0,0,30,0,0,0,0,0,0,0
2023-12-04T21,129,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,3,0,0,1,0,18,0,0,0,0,0,0,1,0,6,10,0,0,2,0,0,1,0,0,0,0,1,0,16,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,12,1,0,1,0,0,0,4,1,0,0,0,5,0,0,0,1,5,0,0,0,4,0,0,0,1,0,0,26,0,0,0,0,0,0,0
2023-12-04T22,125,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,4,2,0,0,0,7,0,0,0,0,12,0,0,0,0,0,0,3,0,1,9,0,0,1,0,0,2,0,0,0,0,1,0,18,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,1,5,0,0,0,2,0,0,1,1,0,0,31,0,0,0,0,1,0,0
2023-12-04T23,111,0,0,0,2,0,1,0,1,0,0,1,0,0,3,0,0,12,0,0,0,0,7,1,0,0,0,12,0,0,0,0,0,0,1,0,1,10,0,0,2,0,0,0,0,0,1,0,1,0,11,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,4,0,0,1,1,0,0,21,0,0,0,0,0,0,0
2023-12-05T00,102,1,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,12,1,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,1,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,4,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,4,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,38,0,0,1,0,0,0,0
2023-12-05T01,82,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,1,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0
2023-12-05T02,85,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,7,0,0,0,0,8,1,0,0,0,3,0,0,0,0,0,0,1,0,3,5,0,1,1,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,1,0,0
2023-12-05T03,115,2,0,0,2,0,1,0,0,1,0,1,0,1,2,0,0,4,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,2,6,0,0,0,1,0,0,0,2,0,0,50,0,0,0,0,3,0,0
2023-12-05T04,92,1,0,0,3,0,0,0,0,1,0,1,0,1,2,0,0,12,0,0,1,0,8,1,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,37,0,0,0,1,0,0,0
2023-12-05T05,80,4,0,0,0,0,1,0,0,2,0,1,0,0,1,0,1,5,0,0,1,0,3,0,0,0,1,4,0,0,0,0,0,0,1,0,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,6,0,0,0,1,0,0,1,1,0,0,26,0,0,0,0,1,0,0
