bucket,total,--,AE,AL,AM,AR,AT,AU,AZ,BA,BD,BE,BG,BH,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,HK,HR,HU,ID,IE,IL,IN,IR,IS,IT,JP,KE,KG,KH,KR,KZ,LA,LB,LK,LT,LU,LV,LY,MA,MD,MK,MM,MO,MX,MY,NA,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PT,PY,RE,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,TH,TN,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VN,WS,ZA,ZM,ZW
2023-02-27T18,217,2,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,5,1,1,0,1,0,0,0,0,2,55,0,0,0,0,1,0,10,0,0,14,13,0,0,0,4,0,0,0,0,0,2,0,0,21,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,0,0,0,0,0,0,2,0,0,0,0,1,0,5,0,0,0,8,6,0,0,4,0,1,1,0,0,0,20,0,0,0,0,0,0,0,0
2023-02-27T19,225,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,14,1,0,0,2,0,0,0,0,3,58,0,0,0,0,1,0,15,0,0,11,21,0,0,0,2,0,2,0,2,0,0,0,0,12,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3,0,0,0,0,0,0,2,0,1,1,0,3,0,4,0,0,0,5,7,0,0,2,0,2,1,0,1,0,10,0,0,0,0,0,0,0,0
2023-02-27T20,201,2,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,14,2,0,0,4,0,0,0,0,1,30,0,0,0,0,0,0,14,0,0,15,12,0,0,0,1,0,0,0,0,0,1,0,0,19,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,24,2,0,2,0,0,0,0,1,0,0,0,0,3,0,5,0,0,0,3,7,0,0,0,0,1,1,0,0,0,26,0,0,0,0,0,0,0,1
2023-02-27T21,323,5,0,0,0,2,0,2,1,0,0,2,1,0,0,0,0,21,6,0,0,8,8,0,0,1,0,40,1,0,0,0,0,0,5,0,0,17,21,0,0,0,3,0,0,0,1,1,2,0,0,23,3,0,1,0,0,0,0,0,0,3,1,0,1,0,0,0,0,1,1,0,0,0,17,4,0,1,0,0,0,0,1,0,0,0,0,6,0,10,1,0,0,5,6,1,1,2,0,2,1,0,1,0,78,1,0,1,0,0,2,0,0
2023-02-27T22,165,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,11,1,0,0,11,0,0,0,0,0,23,0,0,0,0,0,0,6,0,1,9,14,0,0,1,2,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,2,0,1,0,0,0,1,1,0,1,0,0,0,0,4,0,0,0,3,5,0,0,0,0,0,1,0,0,0,24,0,0,2,1,0,0,0,0
2023-02-27T23,146,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,11,0,0,0,16,1,0,0,0,0,13,0,0,0,0,0,0,2,0,1,9,11,0,0,0,0,0,0,2,0,0,3,0,0,16,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,6,0,0,0,0,1,0,0,0,0,33,0,0,1,0,0,1,0,0
2023-02-28T00,139,1,0,0,0,3,0,0,0,0,0,1,0,0,0,1,1,4,1,0,0,30,1,0,0,0,0,5,0,0,0,0,0,0,2,0,0,5,8,0,0,0,3,0,0,2,4,0,3,0,0,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,6,0,0,0,0,0,1,0,0,0,33,0,0,0,0,0,1,0,0
2023-02-28T01,115,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,14,0,0,0,30,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,6,0,0,0,0,0,1,0,0,0,30,0,0,0,1,0,0,0,0
2023-02-28T02,125,5,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,16,0,0,0,34,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,4,0,0,0,29,0,0,0,1,0,0,0,0
2023-02-28T03,139,3,0,0,0,1,0,1,0,0,0,0,0,0,0,3,1,10,0,0,0,21,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,3,3,0,0,0,2,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,0,0,1,0,7,0,0,0,1,5,0,0,3,0,0,7,0,0,0,40,0,0,0,2,0,1,0,0
