bucket,total,--,AE,AL,AR,AT,AU,BA,BB,BD,BE,BG,BH,BO,BR,BW,BY,CA,CD,CH,CL,CM,CN,CO,CR,CW,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GH,GR,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JM,JP,KE,KG,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MA,MC,MK,MM,MN,MO,MV,MX,MY,NC,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PT,PY,RO,RS,RU,RW,SA,SC,SD,SE,SG,SI,SK,TH,TN,TR,TT,TW,UA,US,UY,UZ,VE,VN,ZA
2023-12-25T18,145,4,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,4,0,1,0,0,10,0,0,0,0,0,23,0,0,0,0,0,0,3,0,0,8,11,0,0,3,1,0,1,0,0,0,1,0,1,9,0,3,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,4,1,0,0,0,5,0,0,0,0,3,6,0,0,7,0,0,0,0,0,23,0,0,0,0,0
2023-12-25T19,159,2,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,6,0,1,0,0,18,0,0,0,0,0,27,0,0,0,0,0,0,3,0,2,7,8,1,0,0,1,0,0,0,0,0,1,0,0,14,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,1,0,2,0,3,0,0,0,0,2,6,1,0,10,0,1,0,0,0,25,0,0,0,0,0
2023-12-25T20,149,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,2,0,0,10,0,0,0,0,0,22,1,0,0,1,0,0,2,0,0,7,10,1,0,2,1,0,0,0,0,0,1,0,0,16,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,5,0,0,1,0,5,0,0,0,0,3,7,0,0,6,0,2,0,0,1,22,0,0,0,1,0
2023-12-25T21,129,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,5,0,2,0,0,12,0,0,0,0,0,24,1,0,0,0,0,0,2,0,0,6,5,0,0,0,1,0,0,1,0,0,1,0,0,12,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,5,1,0,2,0,1,0,0,0,0,3,7,0,0,3,0,3,0,0,1,14,0,0,0,1,0
2023-12-25T22,128,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,1,0,0,7,0,0,0,0,0,19,1,0,0,0,0,1,0,0,0,5,12,0,0,3,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,3,1,0,3,0,3,0,0,0,0,3,7,0,0,1,0,3,0,1,0,25,0,0,0,0,0
2023-12-25T23,119,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,6,0,1,0,0,6,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,10,0,0,2,1,0,0,0,0,0,1,0,0,10,0,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,0,0,0,0,4,2,0,0,0,3,0,0,1,0,2,5,0,0,1,0,1,0,3,0,26,0,0,0,0,0
2023-12-26T00,96,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7,0,3,0,0,6,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,1,9,0,0,1,1,0,0,0,0,0,1,0,0,6,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,5,0,0,1,0,0,0,2,0,26,0,0,0,0,0
2023-12-26T01,85,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,1,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,7,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,1,1,0,0,0,3,0,0,0,0,0,5,0,0,2,0,0,0,0,0,35,0,0,0,0,0
2023-12-26T02,67,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,3,0,0,0,0,1,6,0,0,0,0,0,0,0,0,23,0,0,0,0,0
2023-12-26T03,67,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,6,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,2,0,0,2,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,6,0,0,1,0,0,0,1,0,16,0,0,0,0,0
