bucket,total,--,AE,AM,AR,AT,AU,BA,BD,BE,BG,BO,BR,BW,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GL,GR,GT,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KH,KR,KW,KZ,LA,LT,LV,LY,MA,MC,MD,MK,MM,MU,MW,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,PY,RO,RS,RU,RW,SC,SE,SG,SI,SK,SV,TG,TH,TR,TW,TZ,UA,US,UY,UZ,VE,VN,ZA
2023-06-20T03,86,1,0,0,1,0,0,0,2,1,0,0,1,0,4,0,0,0,7,0,0,0,3,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,6,0,0,0,0,1,0,1,0,0,38,0,0,0,1,0
2023-06-20T04,73,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,9,0,0,0,3,0,0,0,0,0,0,1,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,3,0,0,0,7,0,0,0,0,3,0,1,0,0,25,0,0,0,0,0
2023-06-20T05,72,2,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,7,0,0,0,5,0,0,0,0,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,2,0,0,0,0,28,0,0,0,0,1
2023-06-20T06,81,2,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,9,0,0,0,5,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,4,0,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,3,0,0,0,6,0,0,0,0,2,1,0,0,0,28,0,0,0,0,0
2023-06-20T07,84,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,10,0,0,0,7,0,0,0,0,0,0,1,0,0,5,3,0,0,0,0,0,0,0,0,0,2,0,3,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,5,0,0,0,0,2,0,1,0,0,25,0,0,0,1,0
2023-06-20T08,79,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,7,0,0,0,9,0,0,0,0,0,0,1,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,6,0,0,0,0,4,0,0,0,0,23,0,0,0,0,0
2023-06-20T09,84,2,0,0,0,0,4,0,1,0,0,0,0,0,3,0,0,0,8,0,0,1,9,0,0,0,0,0,0,1,0,0,6,5,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,5,0,1,0,0,5,0,0,0,0,20,0,0,0,1,0
2023-06-20T10,85,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,6,0,0,0,0,0,0,1,0,0,7,6,0,0,0,1,0,0,0,2,0,0,0,3,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,2,20,0,0,0,0,0
2023-06-20T11,86,2,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0,6,5,0,0,0,2,0,0,0,0,0,1,0,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,0,0,0,0,2,1,6,0,4,20,0,0,0,0,0
2023-06-20T12,97,2,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,6,0,0,1,7,0,1,0,0,0,0,0,0,0,7,6,0,0,0,7,0,2,0,0,0,0,1,2,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,7,0,2,0,3,18,0,0,0,0,0
2023-06-20T13,95,2,0,0,1,2,1,0,1,0,0,0,1,0,0,1,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,6,4,0,0,0,2,0,1,0,0,0,0,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,0,1,0,0,1,0,0,0,3,0,0,0,6,0,0,0,0,11,0,2,0,3,22,0,0,0,0,0
