bucket,total,--,AE,AL,AM,AR,AT,AU,AZ,BA,BD,BE,BG,BR,BY,CA,CH,CL,CN,CO,CW,CY,CZ,DE,DK,DO,EC,EG,ES,ET,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KE,KG,KH,KR,KZ,LB,LK,LT,LU,LV,MA,MC,MK,MM,MO,MU,MX,MY,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PS,PT,RO,RS,RU,RW,SC,SE,SG,SK,SN,SV,SZ,TG,TH,TN,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA,ZW
2023-05-01T19,142,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,3,1,3,0,0,0,1,29,2,0,0,0,2,0,0,6,12,0,0,2,0,1,0,1,0,1,0,8,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,1,0,0,1,1,0,3,0,0,3,5,0,0,0,0,0,2,0,0,0,0,0,1,0,12,0,0,0,0,0,0
2023-05-01T20,150,1,0,0,0,1,0,0,0,0,0,1,1,1,0,6,1,0,4,0,0,0,1,24,1,0,0,0,1,0,1,10,10,0,0,1,0,0,0,0,0,0,0,21,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,1,1,0,1,0,0,3,7,0,0,0,0,0,5,0,1,0,2,0,1,0,19,0,0,0,1,0,0
2023-05-01T21,128,3,0,0,0,0,0,0,0,0,0,1,1,1,0,6,1,1,0,0,0,0,0,20,1,0,0,0,0,0,0,2,11,0,0,1,0,1,0,0,0,0,0,18,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,3,2,0,0,0,0,3,7,0,0,0,0,0,3,0,1,0,1,0,0,0,25,0,0,0,0,0,0
2023-05-01T22,115,1,0,0,0,1,0,0,0,0,0,0,1,0,0,11,1,1,0,0,0,0,0,18,1,0,0,0,4,0,0,4,9,0,2,0,0,0,0,0,0,0,0,11,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,6,0,0,0,0,0,0,0,0,0,2,0,0,0,22,0,1,0,0,0,0
2023-05-01T23,107,2,0,0,0,1,0,0,0,0,0,0,0,3,0,11,1,0,1,0,0,0,0,14,1,0,0,0,1,0,0,2,8,0,1,0,0,2,0,0,0,1,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,29,0,1,0,1,0,0
2023-05-02T00,96,5,0,0,0,1,0,0,0,0,0,0,0,4,0,16,1,0,3,0,0,0,0,8,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,27,0,0,0,1,0,0
2023-05-02T01,127,2,0,0,0,2,0,1,0,0,0,2,0,2,0,15,0,0,6,1,0,0,0,9,1,0,0,0,1,0,0,1,5,0,0,0,0,1,0,7,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,49,0,0,0,0,0,0
2023-05-02T02,108,4,0,0,0,1,0,1,0,0,0,2,0,0,0,14,0,0,5,1,0,0,0,6,1,0,0,0,1,0,0,3,4,0,0,1,0,0,0,0,0,3,1,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,1,0,0,0,0,0,0,1,0,2,0,1,0,32,0,0,0,1,0,0
2023-05-02T03,100,3,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,4,1,0,0,0,7,1,0,0,0,1,0,0,3,6,0,0,1,0,1,1,0,0,3,1,0,2,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,7,0,0,0,0,0,1,0,0,0,1,0,1,0,35,0,0,0,0,0,0
2023-05-02T04,69,1,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,17,0,0,0,0,6,1,0,0,0,1,0,0,2,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,2,0,0,0,1,0,0,0,15,0,0,0,0,0,0
